Content: Content Name,Active,Content Introduction Text,Content Conclusion Text,Shareable Direct Link
"Invite Only Events using ""Invitee Verification Method""",1,"Attendee Verification Method 
 &#127760; What Is This Functionality? The  Invitee Verification Method  is a setting on the  Event Settings  record that allows you to restrict who can register for your event. It ensures that only people you've explicitly invited can complete registration, based on how their identity is verified. 
 This is ideal for closed-door or high-security events where you need control over access but don?t want to require users to log in through Experience Cloud. 
 
 &#128295; How Does It Work? You can find the  Invitee Verification Method  picklist on the Event Settings record. When set to  Attendee Email Match , it adds a verification step to the registration process when accessing the event through a public link: A user lands on the Event page. Before they can register, they're prompted to enter their email. The system checks to see if that email matches an existing Attendee record for the event. If matched, the user proceeds to register. If not matched, registration is blocked. This applies  only  to users accessing the event from a  public/generic event link . 
 If someone uses their  AttendeeLink  (the personalized link generated from the Attendee record), they skip the email prompt and go straight to registration. &#128197; When Should I Use This? Use this setting when: You want to share one public registration link to a large invite list. You're using an external email tool (like Mailchimp or Pardot) to send invites and don't want to go over the 5,000 daily Salesforce Email limit for a mass Invitation email. You want to ensure that  only invited guests  can register. &#128242; Example Use Case Marketing Team at FinServe Corp  wants to host a private investor webinar. They've uploaded 20,000 investor contacts into Salesforce as Attendee records. Instead of sending out 20,000 unique emails with as many individual Attendeelinks, they send one email campaign which includes their public Event Page URL (Or a link to the Event Group the Event is in). 
 With  Invitee Verification Method = Attendee Email Match , attendees are prompted to verify their email before seeing the registration form. Only those already in the system can continue. 
 This keeps the registration page secure, while making the invite process simple. &#128313; Key Considerations This setting is managed on the  Event Settings  record. Requires Attendee records to exist  before  invitees attempt to register. AttendeeLink bypasses email check and goes directly to the personalized form. &#127905; Pro Tips Customize the error message shown to unverified users by editing the site?s  Registration Page Error Text .",Additional Resources Invite Only Technical Documentation Invite Only FAQs Documentation,https://community.blackthorn.io/s/continued-learning?content=aA5UX00000039YD
"Invite Only Events using ""Visibility Controls""",1,"Invite Only Events via Visibility Controls 
 &#127760; What Is This Functionality? Visibility Controls allow you to restrict who can register for an event by requiring a match between the Event or Event Item?s visibility control field value and the invited person (Attendee) record. This gives you a way to create invite-only access for events (or specific tickets)  without requiring login or Experience Cloud . 
 Instead, it?s based on values you set on the  Visibility Controls  field on both the Event or Event Item and the Attendee record. &#128295; How Does It Work? Here?s how to configure invite-only access using Visibility Controls: On the Event or Event Item, populate the  Visibility Controls  field with a value (e.g. ""Members Only""). Pre-create Attendee records for invited guests with a Registration Status of ""Invited"". On each Attendee record, set their  Visibility Control  field to match the Event or Event Item. When the attendee accesses the Event or Item, Blackthorn checks for a matching value of the ""Visibility Controls"" field between the attendee and the Event or Item. If it matches, the Attendee can see and register. If not, access is denied. This method does  not require login  and works on public-facing pages. &#128197; When Should I Use This? Use this method when: You want to restrict visibility to specific users without requiring login. You already have Attendee records created (or plan to create them in advance). You want more flexibility in controlling access to  specific tickets  (Event Items) within a single event. &#128242; Example Use Case A university is hosting an event open to both students and alumni, but different ticket types should only be visible to one group or the other. The event organizer: Sets Visibility Controls = ?Student? on one Event Item and ?Alumni? on another. Pre-creates Attendee records for everyone they invited. Sets the Visibility Control field on each Attendee accordingly. Now, when invitees land on the event page, students only see the student ticket, alumni only see the alumni ticket. 
 This allows for  one public event page , but access to tickets is customized for the audience. Additionally, People visiting the Event page that were NOT pre-created Attendees will be able to see the Event page, but not any tickets to select from. 
 
 &#128313; Key Considerations This setup  only works  if Attendee records are created  before  registration. Visibility Controls must match exactly (case-sensitive). Visibility Control fields exist on the following Objects, and you will need to make sure any custom Visibility Controls exist and match exactly: Event Event Item Session Event Item Session Attendee Contact If you don't set a value on the Event or Event Item, it's considered public. If an Attendee doesn?t have a matching value, they won?t be able to see or select the item. Attendees WILL need to use the AttendeeLink to access the event in order to see the tickets. &#127905; Pro Tips You can set the  Visibility Control  value on the  Contact  and use a simple Flow to copy it automatically to new Attendee records related to Contacts. Use Visibility Controls at the  Event Item  level to make only certain tickets invite-only, even if the event itself is public. You CAN use this functionality combined with Attendee Verification via email address to set up, authorized access only to the event and specific visibility to event items for your attendees.",Additional Resources Visibility Controls Learning Hub Content Visibility Controls Technical Documentation Screen Recording of a Flow to add Contact-level Visibility to related Attendee,https://community.blackthorn.io/s/continued-learning?content=aA5UX00000039d3
"Invite Only Events using ""Visibility Rules""",1,"Invite Only Events via Visibility Rules 
 &#127760; What Is This Functionality? Visibility Rules  allow you to control who can see and register for events or ticket types based on advanced, dynamic logic. Unlike basic Visibility Controls, Visibility Rules let you reference fields on the Contact, User, or related objects to tailor access. 
 This approach is most effective in authenticated environments, such as  Experience Cloud sites  or  authenticated iFrames  embedded on your own website. It gives you invite-only behavior without requiring Attendee records to be created in advance. &#128295; How Does It Work? Here?s how to configure invite-only access using Visibility Rules: In the Event, Event Item, or Session, populate the  Advanced Visibility Rules  field with your criteria (e.g. Contact.Account.Name = ""Board Members""). Publish the event in an  authenticated environment  (Experience Cloud or authenticated iFrame). When a logged-in user visits the page, Blackthorn evaluates the rule using the user's associated Contact record. If the rule evaluates as  true , the user sees and can register. If the rule evaluates as  false , the item (or event) is hidden from view. &#128197; When Should I Use This? Use this method when: Your event is hosted inside a logged-in portal or authenticated web experience . You want to control visibility using criteria on the Contact or User record. You don?t want to pre-create Attendee records. You need flexibility beyond a single picklist value (e.g. role, account, or multi-field logic). &#128242; Example Use Case A professional association uses an Experience Cloud portal to manage events for different membership levels. The team: Creates an event with several ticket types. Adds a Visibility Rule on the Event Item that says:  Contact.Membership_Tier__c = ""Premium"" . Only Premium-tier members who log into the portal see that ticket when viewing the event. This ensures each member sees only the ticket options meant for them?no manual attendee creation required. &#128313; Key Considerations Requires a  logged-in  user with an associated  Contact record . Rules must evaluate to  true or false . Cannot be used on unauthenticated public pages. Rules can be placed on: Event Event Item Session Event Item Session &#127905; Pro Tips Combine Visibility Rules with Event Group filtering to create full calendar segmentation. You can use more than one rule for different layers (e.g. Event has a rule, but each Event Item has its own rule as well). This is great for partner portals, member-only calendars, or gated internal events.",Additional Resources Advanced Visibility Learning Hub Content Advanced Visibility Technical Documentation Advanced Visibility: Contact-Based Rule Calculation Authenticated iframe Learning Hub Content Authentication via iframe Technical Documentation Event Registration via Experience Cloud Learning Hub Event Registration via Experience Cloud Technical Documentation,https://community.blackthorn.io/s/continued-learning?content=aA5UX00000039ef
"""Invite Only Events"" Introduction",1,"Invite Only Events 
 &#127760; What Are Invite-Only Events? Invite-only events are events that aren?t open to just anyone. Whether it?s a VIP summit, an internal training, a donor appreciation dinner, or a members-only workshop, you sometimes need to make sure  only the right people can register. 
 Blackthorn offers multiple ways to make your events invite-only, depending on how tightly you want to control access and how your registration process is set up. 
 These invite-only options allow you to: Prompt invitees to verify their email before registering. Restrict visibility based on values set on their attendee or contact record. Use login-based rules for authenticated portals or embedded iFrames. Personalize access using individual registration links. Each method has different benefits and fits different types of event workflows. &#128295; How Does It Work? Here?s how to configure invite-only access using Visibility Rules: In the Event, Event Item, or Session, populate the  Advanced Visibility Rules  field with your criteria (e.g. Contact.Account.Name = ""Board Members""). Publish the event in an  authenticated environment  (Experience Cloud or authenticated iFrame). When a logged-in user visits the page, Blackthorn evaluates the rule using the user's associated Contact record. If the rule evaluates as  true , the user sees and can register. If the rule evaluates as  false , the item (or event) is hidden from view. &#128197; Common Use Cases You?re hosting a private leadership retreat and want to verify that only invitees can register, even from a public event link. You?re promoting a member-only event to the public, but only want members to see registration options. You want to manage tiered access to ticket types (e.g. Premium vs. Basic) for logged-in users. You?re sending out one universal invite link to a list of pre-approved partners and want to keep registration locked down. &#128313; Key Considerations Some methods  require pre-created Attendee records  (like email verification or visibility control). Some methods  require authentication  (like visibility rules for Experience Cloud or authenticated iFrames). Some methods are  great for public pages , others require gated access. Your choice depends on how you invite attendees, how secure you need registration to be, and whether you want to show or hide the event entirely. &#127905; Pro Tips Blackthorn also provides a few  Event Settings  that can enhance any invite-only setup: Disable ""Not You"" : Prevents users from clicking ""Not You?"" on an AttendeeLink. Useful if invites are forwarded and you don?t want someone else registering in place of the invitee. Disable Checkout As Someone Else : Hides the ""Someone else"" option in the contact info section during checkout. Helps lock registration to the intended recipient. Allow Edits to Attendee Fields : Allows or restricts invitees from updating name, email, or other fields that are pre-filled from their Attendee record via the AttendeeLink. These settings can be applied to any event using invite-only logic to further customize or restrict how attendees interact with their registration.",Let's check out the options! Invitee Verification via email Invite Only via Visibility Controls Invite Only via Visibility Rules,https://community.blackthorn.io/s/continued-learning?content=aA5UX00000039gH
Sponsorship Tickets (Custom Use Case),1,"**Please note: This custom use case is a proof of concept and is not included as part of our standard Managed packages. While we encourage you to explore the full potential of our apps, building out this specific use case would be your responsibility and will require custom development on your end.** Sponsorship / Table Purchase Ticket Type (Custom Pattern) Some events require a single purchaser (e.g., a sponsor or table buyer) to reserve seats for multiple additional attendees. Common examples include: Sponsorship packages Tables at a gala or fundraiser Group or corporate registrations where guest details are collected later Because this behavior goes beyond standard one-attendee-per-ticket registration, this solution is implemented as a  custom Salesforce pattern  using fields and Flow. This article outlines a recommended, supportable approach we refer to as the  Sponsorship / Table Purchase Ticket Type . 
 
 What This Approach Does Allows one ticket purchase to represent multiple attendees Automatically creates placeholder ?guest? attendee records Keeps a single purchaser of record Groups all related attendees together for reporting and management This approach focuses on  record creation and structure , not guest invitation or communications.","Video Chapters 00:00 ? 01:05 | Introduction & Problem Overview Overview of the sponsorship / table purchase problem, why it?s common, and why a custom approach is needed today. 
 01:06 ? 06:58 | Adding Required Fields & Ticket Configuration Creating the hidden guest ticket, configuring Event Item fields (Sponsorship Ticket, Number of Additional Attendees), and adding the Attendee formula field used to drive automation. 
 06:59 ? 20:54 | Building the Sponsorship Guest Creation Flow End-to-end walkthrough of the record-triggered flow, including trigger conditions, variables, attendee group creation, guest attendee looping logic, and bulk record creation. 
 20:55 ? 22:31 | Live Registration Walk-Through Purchasing a sponsorship ticket and walking through the registration process to trigger the automation. 
 22:32 ? 25:49 | Reviewing Created Attendees & Results Validating the purchaser, attendee group, guest attendee records, statuses, balances, and overall outcome. 
 25:50 ? 26:19 | Wrap-Up & Key Takeaways Summary of the pattern, reminders about customization and limitations, and guidance on adapting this approach for different use cases.",https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003BN7
This is my video,1,this is my introduction,this is my conclusion,https://community.blackthorn.io/s/continued-learning?tabset-ad48c=e07ef&content=aA5UX0000003G53
Displaying Table + Seat on Email Templates (Merge Tag Use Case),1,"Introduction In many event setups, attendees are assigned seats and tables. Often, customers want to display this seating information inside confirmation and reminder emails using merge tags (ex: ?Table A - Seat 12?). However, Blackthorn email templates can only merge fields that live directly on the Attendee record being emailed (ex: Attendee fields). If the seating information is stored only as a related record , it cannot be reliably pulled into email templates unless it is accessible through a Lookup field. This guide walks through how to store the seat relationship on the Attendee record so Blackthorn email templates can use it. 
 Why This Is Needed Right now: Seats are related to Attendees through a relationship But the Seat is not stored as a Lookup field on the Attendee That means the Attendee record does not have a direct reference to the Seat record Therefore, a formula field on the Attendee cannot reliably pull: Table Name Seat Number To solve this, we need to: Create a Seat Lookup field on the Attendee record Create a Flow that automatically populates that Seat Lookup when a Seat is assigned to an Attendee Create a formula field that combines Table + Seat into one text field Use that formula field as a merge tag in email templates 
 Pro-Tips Work in a Sandbox First: Always test in a Sandbox environment before production. Know Your Object Names: You may see ?Attendee? as a custom object name like conference360__Attendee__c. Flows Are Preferred: Salesforce Flow is the best modern tool for automation. Avoid Workflow Rules (deprecated). 
 Step 1: Create a Seat Lookup Field on the Attendee Object Goal Add a field to the Attendee record so it can store a direct link to the Seat record. Steps Go to Setup Click the gear icon (top right) Click Setup In the Setup search bar, type Object Manager Click Object Manager Find and select the Attendee object (This may be named something like Attendee or conference360__Attendee__c ) In the left menu, click Fields & Relationships Click New Choose Lookup Relationship Click Next Select the related object: Choose Seat Click Next Field Label: Label: Seat Field Name should auto-fill (example: Seat__c) Click Next Set Field-Level Security Make sure it?s visible for the profiles that need it (typically Admins) Click Next Add to Page Layouts Check the box to add it to all page layouts Click Save ? Result: The Attendee record now has a Seat Lookup field. 
 
 Step 2: Create a Flow to Automatically Populate the Seat Lookup Goal Whenever a Seat record is created or updated and linked to an Attendee, Salesforce should automatically update the Attendee record and populate the new Seat lookup field. Why This Matters Without automation, someone would have to manually populate the Seat field on the Attendee every time. Flow Requirements T rigger Object: Seat Trigger Type: Record is Created or Updated Condition: Seat has an Attendee assigned (Attendee is not blank) Action: Update the Attendee record?s Seat Lookup field with the current Seat record 
 Steps to Build the Flow Go to Setup Search for Flows Click Flows Click New Flow Select Record-Triggered Flow Click Create 
 Configure the Trigger Choose Object: Select Seat Trigger the Flow When: Select A record is created or updated Entry Conditions: Set condition: 
 Attendee (Seat?s attendee lookup field) Operator: Is Null Value: False This ensures the flow only runs when the Seat is tied to an Attendee. Optimize the Flow For: Select Actions and Related Records Click Done 
 Add the Update Records Element Click the + button under the Start node Select Update Records Label the element: Update Attendee Seat Lookup How to Find Records to Update: Choose Specify conditions to identify records, and set fields individually Object: Select Attendee Set Conditions (which Attendee should be updated?): Attendee Id equals the Seat record?s Attendee value Example: Field: Id Operator: Equals Value: $Record.Attendee__c Set Field Values (what should be updated?): Field to update: Seat__c (the new lookup field on Attendee) Value: $Record.Id Click Done 
 Save and Activate the Flow Click Save Flow Name: Populate Seat Lookup on Attendee Click Save Click Activate ? Result: Anytime a Seat is assigned to an Attendee, Salesforce automatically updates the Attendee and stores the Seat lookup. 
 Step 3: Create the ?Table & Seat? Formula Field on Attendee Goal Create a single text field on the Attendee that displays: Table Name - Seat Number Example: VIP Table A - Seat 12 
 Steps Go to Setup Go to Object Manager Select the Attendee object Click Fields & Relationships Click New Select Formula Click Next Field Label: Table & Seat Click Next Formula Return Type: Select Text Click Next 
 Paste This Formula 
 Seat__r.conference360__Table__r.conference360__Table_Name__c & "" - Seat "" & Seat__r.conference360__Seat_Number2__c 
 Click Check Syntax Click Next Set Field-Level Security Make visible to users who need it Click Next Add to Page Layout Check page layout boxes Click Save ? Result: The Attendee record now displays a combined Table + Seat field. 
 
 Step 4: Use the Table & Seat Field as a Merge Tag in Email Templates Goal Now that the data lives directly on the Attendee record, it can be pulled into email templates. Steps Go to your Blackthorn Email Template builder In the merge field selector, location and choose: Table & Seat Insert it into the email content Example: Your assigned seat is: {!Attendee.Table_Seat__c} ? Result: Confirmation and reminder emails will display seating information. 
 ? 
 Expected Outcome Once everything is complete: Seat records still relate to Attendees normally The Flow ensures the Attendee stores the Seat lookup automatically The formula field pulls the Seat?s Table Name and Seat Number Email templates can now display seating information using a merge tag FAQ?s Question : Why can?t we just pull the seat record directly in the email template? Answer: Salesforce merge tags generally only work for fields directly on the record. Related records don?t reliably merge unless accessed through a Lookup field relationship. 
 Question : Why do we need a Flow? Answer: A Flow ensures the Attendee Seat lookup is always automatically populated when a Seat record is created or updated. Without it, users would have to manually populate the lookup. 
 Question : What happens if an attendee?s seat changes? Answer: Since the flow triggers on Seat update, the Attendee lookup will update automatically as long as the seat record is updated correctly.",,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003G9t
Beacon: Blackthorn Boost,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003II9
Planner: Blackthorn Boost,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003IJl
Page Designer: Blackthorn Boost,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003ILN
Blackthorn Boost: Zero Drag. Full Power.,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003IMz
Blackthorn Boost: On-Demand Recording,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003ITR
Salesforce Email Security & Deliverability,1,"Salesforce Email Security Update (March 2026+) 
 Salesforce is increasing email security and will begin blocking emails sent from  unverified domains . This change may impact  Blackthorn Events and Payments notifications , since these rely on Salesforce email delivery. If your organization sends emails from a domain that is not verified in Salesforce, those emails may  fail to send . 
 Timeline Salesforce is rolling this out in stages: March 9  ? Enforcement begins for some orgs March 30  ? Sandbox org enforcement April 27  ? Existing production org enforcement To avoid interruptions and ensure your emails are sent, verify your domain   before these dates .","What You Need to Do To ensure Salesforce can send emails successfully, verify your sending domain. 
 ??  Before You Begin ??  
 This setup typically requires access to  Salesforce settings and your organization?s DNS/domain provider . You may need to involve: A  Salesforce Administrator  (to configure DKIM, authorized domains, and email settings) The person or team who  manages your domain/DNS records  (such as IT or your website administrator) 
 Step 1 ? Create and Verify an Org-Wide Email Address Confirm that your sending email address is verified in Salesforce. Follow the instructions in this Learning Hub Content to set up your Organization-Wide email address. 
 
 Step 2 ? Configure DKIM Authentication DKIM confirms that Salesforce is authorized to send emails from your domain. Basic process: Go to Setup Search for DKIM Keys Click Create New Key Add your domain Add the generated CNAME record to your DNS provider (GoDaddy, Cloudflare, etc.) After DNS propagates, return to Salesforce and Activate the DKIM key 
 Step 3 ? Authorize Your Email Domain Salesforce also requires domain authorization. Go to Setup Search for Authorized Email Domains Click Add Enter your sending domain Add the provided TXT verification record to your DNS provider Return to Salesforce and click Verify 
 How to Confirm You're Done Your setup is complete when: DKIM key is Active Email domain is Verified Org-wide email addresses are Verified Once these are configured, Salesforce can safely send authenticated emails from your domain.",https://community.blackthorn.io/s/continued-learning?content=aA5UX0000003VIb
Event Builder,1,"What Is the Event Builder? The Event Builder is your one stop shop for building out all your events in Blackthorn. With the Event Builder you can create your event, add tickets, sessions and attendees all in one place instead of clicking through 5+ Salesforce records. 
 Use Cases I am an event organizer and I need to create a last minute event and open it up for registration. By using the event builder, I can clone from a previous event and open up my new event for registration in less than 5 minutes! I am a system administrator and creating records in Salesforce is a breeze for me, but not for my event organizers. Instead of having them learn how to create new Salesforce records, I direct them to create their events, sessions, speakers, and event items from the builder's easy to use and intuitive UI! ?","Sub-Features 
 &#127897;? Speakers One of the main benefits of using the event builder is that you get to create related records all in one go. Speakers are one of these related records. You can add and edit as many speaker records as you want, relate them to existing contacts, upload a profile photo straight from your computer and more! 
 &#128467;? Sessions You can also add sessions right from the builder, very similar to speakers, you can add and edit any existing sessions and even relate certain speakers to individual sessions. Add a banner, start and end time, price point, and description to your sessions all in one place. 
 &#127903;?Event Items Creating event items within the builder allows you to visually see the different types of event items your event has. You can easily see which event items are tickets, which are donations, and which are products. A big win over seeing plan records in Salesforce! 
 &#128101;Attendee Loader Why do we put on events? To have people come to hem! Right from the builder you can bulk upload a list of invitees. No email is sent, but you?ll have everyones unique invitation link generated along with their attendee records so you can send those invites out whenever you are ready! 
 FAQ?s 
 Question: Can I add my own custom fields to the builder? Answer: Yes, you can do this if you have the permissions in Salesforce to do so by adjusting the field set (If you have the ability, you?ll see a click here hyperlink at the bottom of the builder). 
 Question: Can I leave the builder and pick up where I left off the next time I open it? Answer: Yes! But, don?t just leave the builder tab, click save and publish later to save the event and you?ll be able to click the builder button from the event record to pick up where you left off. 
 Question: Can I remove the ?Save and Publish? button from the builder? Answer: No, the UI inside the builder can?t be adjusted.  
 Additional Resources Blackthorn Documentation",https://community.blackthorn.io/s/continued-learning?tabset-ad48c=1&content=aA5VX000000BSx3
Event Tickets,1,"What Are Event Tickets? Event Tickets are at the core of event registrations in Blackthorn. The reason? You can think of it this way, one ticket = one attendee in Salesforce. This allows for everybody in a group registration to get their own attendee records which allows for granular attendance tracking and pricing! 
 Use Cases I am an event organizer and I am setting up a student admissions event. I want to have two tickets, one for the student and one for the parents. I can create two event tickets so I can know who is who and capture relevant information. I am an event organizer and I need to limit how many people can register for a certain ticket for capacity reasons. I can use the tickets minimum and maximum quantity fields to only allow a certain number of tickets to be added to a cart during registration. ?","Sub-Features &#128467;? Sessions When it comes to opening up your sessions for registration, a key component is associated your sessions to a respective ticket. This allows you to control which sessions are seen as available depending on which ticket your registrants select, or you can just have all your sessions appear for all your tickets, the choice is yours! 
 &#128274; Session Requirements You get to decide if one, some, or all of your tickets have Session related restrictions, including: ""Required Sessions"" that are added to the cart of the Attendee by default and cannot be removed, and ""Require at least one Session"" which requires an Attendee who chooses that Ticket to select at least one of the available sessions before they can check out. 
 &#128203; Custom Forms Sometimes it doesn't make sense to ask certain questions on certain ticket types. What if you have a parent ticket and a child ticket, it would be nice if you can only ask the parents questions and not have to repeat them for the child's ticket. Well good news is you can do just that by establishing a custom form on an individual ticket so you can ask the questions that make sense depending on the registrants choices. You can also remove/add any 'out of the box' questions per ticket. As an example, you can ask multiple questions to the parent, but only ask the name of the child and nothing else. You can control all of this by the attendee form on the ticket record. 
 FAQ's Question: Do I have to have a ticket related to my event? Answer: Yes and No. If you want to have your event open for registration, you have to have something for them to register for, so you would need at least one ticket. Although, you can save an event without a ticket and the event page will still load so it acts more like a digital flyer. 
 Question: Is there a limit to how many tickets I can have on one event? Answer: No! Although keep in mind the more choices you have the longer the scroll. 
 Additional Resources Blackthorn Documentation",https://community.blackthorn.io/s/continued-learning?tabset-ad48c=1&content=aA5VX000000BSyf
Products at Checkout,1,"What Are Blackthorn Products? You can think of Blackthorn Products as paid add-on's. Have your registrants pay for parking, buy a t-shirt, whatever you want. If you can type it you can sell it! It's important to note that Blackthorn doesn't do any inventory tracking, it simple adds the amount to the overall checkout transaction and a line item for the product on the related invoice. 
 Use Cases I am an event organizer and I want to allow my registrants to pay for merchandise in advance for convenience. I can use Blackthorn Products to expose my merch with their associated prices so my registrants can add them to their cart along with their tickets. I am in charge of finance and I need to see clearly how much money went to the admission costs and how much went towards merchandise sales. I can pull a report to see invoices, line items, and transactions to accomplish this. ?","Sub-Features &#128101;Attendee Records What if someone does purchase a product during registration, how will you know? In addition to the line item on the invoice, you'll see a checkbox on the attendee record marked as true. The checkbox is called 'Purchased Product'. 
 &#128176; Invoices & Line Items Associated to every attendee record will be an invoice where you can see what they purchased. From here you can see each product (along with tickets and donations) broken out into their own respective line items. 
 FAQ?s 
 Question: Can I have multiple products available durning registration? Answer: Yes! There is not limit to how many products you can make available. 
 Question: Can I put a certain amount of availability on a product so I don't oversell? Answer: Yes, you can establish how much you have available and once a certain number of people have purchased it, it'll show as sold out. 
 Additional Resources Blackthorn Documentation",https://community.blackthorn.io/s/continued-learning?tabset-ad48c=1&content=aA5VX000000BT1t
Donations at Checkout,1,"What Are Donations at Checkout? Use Blackthorn's Donation Event Items to easily add charity donations to your event registration. This tool lets you set up and manage donation options, giving attendees the chance to donate to their chosen cause while signing up for the event. They can pick a set donation amount or enter their own. This feature makes supporting charities simple during event registration and improves the overall charitable aspect of your event. 
 Use Cases A university or a non-profit organization uses Blackthorn's Donation Event Items for their fundraisers. Both allow attendees to give preset or custom donations. Each donation is tracked as a separate Salesforce opportunity, simplifying the process and providing insights into fundraising effectiveness for future event planning and donor engagement.","Sub-Features 
 ? Opportunities on Checkout Blackthorn's Donation Event Items now include the ""Opportunities on Checkout"" feature to improve your event's fundraising. This addition integrates Salesforce opportunities into event registrations. Organizers can create a single opportunity for the entire event to track overall fundraising, and also record individual opportunities for each donation made during checkout. This ensures all donations, whether preset amounts or custom figures, are accurately tracked. This feature links event registrations and donations to Salesforce, giving a detailed view of your event's fundraising success. 
 FAQ?s 
 Question: Can I have multiple donations available? Answer: Yes, you can have multiple donations related to one event and the registrant can add as many as they'd like during one registration flow. 
 Question: Does each donation create it's own opportunity in Salesforce? Answer: Yes! It's a handy way to track each donation, each opportunity will all be associated to the invoice for the registration if you have opportunities for donations enabled on the associated event settings. 
 Question: Are donations charged in separate transactions? Answer: No, even though the donation will have it's own line item and opportunity (if enabled), the overall checkout is charged as one transaction unless you are using our split transaction functionality. 
 Additional Resources Blackthorn Documentation for Opportunities on Checkout Blackthorn Documentation on Donations Blackthorn Documentation on Event Items",https://community.blackthorn.io/s/continued-learning?tabset-ad48c=1&content=aA5VX000000BT3V
